Item Code,Item Name,Company / Brand Code,Minimum Alert Level,Cost Price,Sale Price,Current Stock
"254","T-17 Kidney & Bladder Calculi 30Ml","MEK","12",0,0,0
"255","T-18 Tonsillitis 30Ml","MEK","12",0,0,0
"256","T-19 Vertigo 30Ml","MEK","12",0,0,0
"257","T-20 Ace Pimples 30Ml","MEK","12",0,0,0
"258","T-21 Low Blood Pressure 30Ml","MEK","12",0,0,0
"259","T-22 Sleeplessness 30Ml","MEK","12",0,0,0
"260","T-23 Prostatitis 30Ml","MEK","12",0,0,0
"261","T-24 Bronchitis 30Ml","MEK","12",0,0,0
"262","T-25 Diarrhoea & Dysentery 30Ml","MEK","12",0,0,0
"263","T-26 Vermifuge 30Ml","MEK","12",0,0,0
"264","T-27 Hair 30Ml","MEK","12",0,0,0
"265","T-28 Fever 30Ml","MEK","12",0,0,0
"266","T-29 Anaemia 30Ml","MEK","12",0,0,0
"267","T-30 Constipation 30Ml","MEK","12",0,0,0
"268","T-31 Sweating 30Ml","MEK","12",0,0,0
"269","T-32 Lumbago 30Ml","MEK","12",0,0,0
"270","T-33 Inflammation 30Ml","MEK","12",0,0,0
"271","T-34 Urinary Disease 30Ml","MEK","12",0,0,0
"272","T-35 Liver & Gall Bladder 30Ml","MEK","12",0,0,0
"273","T-36 Bleeding 30Ml","MEK","12",0,0,0
"274","T-37 Relieve The Symptoms Of Unwanted Facial Hair 30Ml","MEK","12",0,0,0
"275","T-38 Nasal Catarrh 30Ml","MEK","12",0,0,0
"276","T-39 Eczema 30Ml","MEK","12",0,0,0
"277","T-40 Leucoderma 30Ml","MEK","12",0,0,0
"278","T-41 Undeveloped Breast","MEK","12",0,0,0
"279","T-42 Relieve The Symtoms Of Headache 30Ml","MEK","12",0,0,0
"280","T-43 Fibroids & Ovarian Cyst 30Ml","MEK","12",0,0,0
"281","T-44 Weak Memory 30Ml","MEK","12",0,0,0
"282","T-45 Cholesterol 30Ml","MEK","12",0,0,0
"283","T-46 Arthritis (Uric Acid) 30Ml","MEK","12",0,0,0
"284","T-47 Recalification 30Ml","MEK","12",0,0,0
"285","T-48Ausea & Vometing 30Ml","MEK","12",0,0,0
"286","T-49 Tonic For Men 30Ml","MEK","12",0,0,0
"287","T-50 Paralysis 30Ml","MEK","12",0,0,0
"288","T-51 Relieve The Symtoms Of Tumor 30Ml","MEK","12",0,0,0
"289","T-52 Hepatitis 30Ml","MEK","12",0,0,0
"290","T-53 Mouth Ulcer 30Ml","MEK","12",0,0,0
"291","T-54 Relieve The Symtoms Of Cervical Spondylosis 30Ml","MEK","12",0,0,0
"292","T-55 Heel Pain 30Ml","MEK","12",0,0,0
"293","T-56 Urticaria 30Ml","MEK","12",0,0,0
"294","T-57 Relieve The Symptoms Of Influenza 30Ml","MEK","12",0,0,0
"295","T-58 Itching & Skin Irritation 30Ml","MEK","12",0,0,0
"296","T-59 Relieve The Symptoms Of Warts 30Ml","MEK","12",0,0,0
"297","T-60 Sciatica 30Ml","MEK","12",0,0,0
"298","Ferro Mek 415Gm Syp","MEK","12",0,0,0
"299","Korean Ginseng Tonic 250Ml Syp","MEK","12",0,0,0
"300","Sharbat E Faulad 250Ml Syp","MEK","12",0,0,0
"301","Ginkgo Mek 250Ml Syp","MEK","12",0,0,0
"302","Gastro Pex 250Ml Syp","MEK","12",0,0,0
"303","Mekbin Hemoglobin 250Ml Syp","MEK","12",0,0,0
"304","Tonsimek 120Ml Syp","MEK","12",0,0,0
"305","Podo Mek 120Ml Syp","MEK","12",0,0,0
"306","Nefrenol Kidny 120Ml Syp","MEK","12",0,0,0
"307","Avena Force 250Ml Syp","MEK","12",0,0,0
"308","Jaam E Hayat 250Ml Syp","MEK","12",0,0,0
"309","Bio Mek 250Ml Syp","MEK","12",0,0,0
"310","Calci Mek 250Ml Syp","MEK","12",0,0,0
"311","Senox Cold 120Ml Syp","MEK","12",0,0,0
"312","Phytolacca Berry 120Ml Syp","MEK","12",0,0,0
"313","Mek Cough 120Ml Syp","MEK","120",0,0,0
"314","Rheuma Liniment 120Ml Syp","MEK","120",0,0,0
"315","Mektone Baby Tonic 120Ml Syp","MEK","120",0,0,0
"316","Mek Cuff 120Ml Syp","MEK","120",0,0,0
"317","Korean Ginseng Tonic 120Ml Syp","MEK","120",0,0,0
"318","Leuco Mek 120Ml Syp","MEK","12",0,0,0
"319","Khoon Safi 120Ml Syp.","MEK","12",0,0,0
"320","Glyco Mek 120Ml Syp","MEK","12",0,0,0
"321","Hepartone Liver Tonic 120Ml Syp","MEK","12",0,0,0
"322","Ferrum Complex 120Ml Syp","MEK","12",0,0,0
"323","Arthro Mek 120Ml Syp","MEK","12",0,0,0
"324","Fevo Mek 120Ml Syp","MEK","12",0,0,0
"325","Digi Mek Digestive Tonic 120Ml Syp","MEK","12",0,0,0
"326","Agnus Damiana 120Ml Drops","MEK","12",0,0,0
"327","Avena Ginkgo 120Ml Syp","MEK","12",0,0,0
"328","Arnica Medicated 120Ml Shampoo","MEK","12",0,0,0
"329","Calci Mek 120Ml Syp","MEK","12",0,0,0
"330","Arnica Medicated 120Ml Oil","MEK","120",0,0,0
"331","Alfalfa Super Tonic 120Ml Syp","MEK","12",0,0,0
"332","Caledula Medicated 60Ml Skin Lotion","MEK","12",0,0,0
"333","Tension Relief 60Ml Drops","BM","12",0,0,0
"334","Euphrasia Eye 15Ml Drops","BM","12",0,0,0
"335","Plantigo Oral Detal Remedy 15Ml Drops","BM","12",0,0,0
"336","Mullien Ear 15Ml Drops","BM","12",0,0,0
"337","Cineraria Maritima Eye 15Ml Drops","BM","12",0,0,0
"338","Rene Cure 30Ml Drops","BM","12",0,0,0
"339","Doloex 30 Tablets","BM","12",0,0,0
"340","Ecze Mek Eczema Ointment","MEK","6",0,0,0
"341","Pilo Mek Haemorrhoids Ointment","MEK","6",0,0,0
"342","Mek Sulf Medicated Cream","MEK","12",0,0,0
"343","Damia Plus Cream For Men","MEK","6",0,0,0
"344","Hydrocotyle Medicated Cream","MEK","6",0,0,0
