Party Code,Party Name,Account Type,City,Phone,Salesman,Opening Balance
"217","Areez pansar store (Tando Alayar)","Tando Alayar","","","",0
"218","Danish saleman","Hyderabad","","","",0
"219","Krishna M/S (Noabad)","Noabad","","","",0
"220","DR Jabbar (Tando Jaam)","Tando Jaam","","","",0
"221","Dr manzoor Ahmed (Tando Jaam)","Tando Jaam","","","",0
"222","Jai Pur M/S (SANGER)","SANGER","","","",0
"223","Rafay H/S (Larkana)DR Abdul Malik","Larkana","","","",0
"224","Public Pharma (faisalabad)","Supplier","","","",0
"225","Dr Shair Alam (Khairpur)","Khairpur Miras","","","",0
"226","DR Imran Qureshi (sanger)","SANGER","","","",0
"227","Mehtab H/S (DR Parwaiz Bhatti)","SHADADPUR","","","",0
"228","Muslim M/S (Tando Allahyar)","Tando Alayar","","","",0
"229","saleem pansar","Tando Alayar","","","",0
"230","DR Arbaz Baig(hyderabad)","Hyderabad","","","",0
"231","Shayan Pansar (Tando Bhago)","Tando Bhago","","","",0
"232","L/DR Parveen Lalu Lashari (kali mori)","Hyderabad","","","",0
"233","Hakeem Abdul Muqeem (Al Hafiz Pansar)(khipro)","Khipro","","","",0
"234","DR Abdul Hameed (Tando alayar)","Tando Alayar","","","",0
"235","Kamal","Supplier","","","",0
"236","Dr Muhakum uddin Abro (Hala)","Hala","","","",0
"237","Habibullah Pansar Store (Hyderabad)","Hyderabad","","","",0
"238","Fluger","Supplier","","","",0
"239","Dr Zulfiqar Ali       ( 03003236075)","NAWABSHAH","","","",0
"240","Hakim Mohammed Iqbal (03403000212)","Tharparkar","","","",0
"241","Dr Usama Ali (0310-3200577)","Hyderabad","","","",0
"242","Dr Faraz (0313-0325200)","Hyderabad","","","",0
"243","AL Rasheed Clinic (DR Mehrunissa)","Tharushah","","","",0
"244","Sindh Homeo Store (Sukkar)","Sukkar","","","",0
"245","Dr Tasawar Hussain (Gularchi)","GOLARCHI","","","",0
"246","Armaa pharma","Supplier","","","",0
"247","Medii Trades","Supplier","","","",0
"248","DR Saleem","SANGER","","","",0
"249","Faiz medical store","Jahand Mori","","","",0
"250","Dr iqbal (Muzammil H/S)","Darya Khan Mari","","","",0
"251","DR Shahid Ahmed","Bashirabad","","","",0
"252","DR Bashir Ahmed (Bashirabad)","Bashirabad","","","",0
"253","Dr Aijaz","SHADADPUR","","","",0
"254","Memon H/S (Herabad)","Hyderabad","","","",0
"255","Dr Sarwar (0341- 3486614)","Tando Jaam","","","",0
"256","Jawaid Pansar Store (K.G.M)","KGM","","","",0
"257","Poshia Clinic (jahand mori)","Jahand Mori","","","",0
"258","Parveez M/S (jahand mori)","Jahand Mori","","","",0
"259","Manooj M/S (jahand mori)","Jahand Mori","","","",0
"260","DR Tariq (Puleli)","Hyderabad","","","",0
"261","DR Ramesh Kumar (Samaro City )","Umar Kot","","","",0
"262","Ali Raza","Supplier","","","",0
"270","krish","C/O Waheed Bhai","","","",0
