"ID","Item Name","Item Code","Naration","Minimum Level","Sale Price","Purchase Price"
"250","T-13 Amenorrhoea & Dysmenorrhoea 30Ml","MEK","0","12","230","230"
"251","T-14 Hight 30Ml","MEK","0","12","230","230"
"252","T-15 Bed Wetting 30Ml","MEK","0","12","230","230"
"253","T-16 Slimming 30Ml","MEK","0","12","230","230"
"254","T-17 Kidney & Bladder Calculi 30Ml","MEK","0","12","230","230"
"255","T-18 Tonsillitis 30Ml","MEK","0","12","230","230"
"256","T-19 Vertigo 30Ml","MEK","0","12","230","230"
"257","T-20 Ace Pimples 30Ml ","MEK","0","12","230","230"
"258","T-21 Low Blood Pressure 30Ml","MEK","0","12","190","230"
"259","T-22 Sleeplessness 30Ml","MEK","0","12","230","230"
"260","T-23 Prostatitis 30Ml","MEK","0","12","230","230"
"261","T-24 Bronchitis 30Ml","MEK","0","12","230","230"
"262","T-25 Diarrhoea & Dysentery 30Ml","MEK","0","12","230","230"
"263","T-26 Vermifuge 30Ml","MEK","0","12","230","230"
"264","T-27 Hair 30Ml","MEK","0","12","230","230"
"265","T-28 Fever 30Ml","MEK","0","12","230","230"
"266","T-29 Anaemia 30Ml","MEK","0","12","230","230"
"267","T-30 Constipation 30Ml","MEK","0","12","230","230"
"268","T-31 Sweating 30Ml","MEK","0","12","170","230"
"269","T-32 Lumbago 30Ml","MEK","0","12","170","230"
"270","T-33 Inflammation 30Ml ","MEK","0","12","230","230"
"271","T-34 Urinary Disease 30Ml","MEK","0","12","230","230"
"272","T-35 Liver & Gall Bladder 30Ml","MEK","0","12","230","230"
"273","T-36 Bleeding 30Ml ","MEK","0","12","230","230"
"274","T-37 Relieve The Symptoms Of Unwanted Facial Hair 30Ml","MEK","0","12","170","230"
"275","T-38 Nasal Catarrh 30Ml","MEK","0","12","230","230"
"276","T-39 Eczema 30Ml ","MEK","0","12","230","230"
"277","T-40 Leucoderma 30Ml","MEK","0","12","230","230"
"278","T-41 Undeveloped Breast","MEK","0","12","230","230"
"279","T-42 Relieve The Symtoms Of Headache 30Ml","MEK","0","12","180","230"
"280","T-43 Fibroids & Ovarian Cyst 30Ml","MEK","0","12","230","230"
"281","T-44 Weak Memory 30Ml","MEK","0","12","190","230"
"282","T-45 Cholesterol 30Ml","MEK","0","12","230","230"
"283","T-46 Arthritis (Uric Acid) 30Ml","MEK","0","12","230","230"
"284","T-47 Recalification 30Ml","MEK","0","12","230","230"
"285","T-48Ausea & Vometing 30Ml","MEK","0","12","230","230"
"286","T-49 Tonic For Men 30Ml ","MEK","0","12","230","230"
"287","T-50 Paralysis 30Ml ","MEK","0","12","230","230"
"288","T-51 Relieve The Symtoms Of Tumor 30Ml","MEK","0","12","230","230"
"289","T-52 Hepatitis 30Ml ","MEK","0","12","230","230"
"290","T-53 Mouth Ulcer 30Ml","MEK","0","12","230","230"
"291","T-54 Relieve The Symtoms Of Cervical Spondylosis 30Ml","MEK","0","12","230","230"
"292","T-55 Heel Pain 30Ml","MEK","0","12","230","230"
"293","T-56 Urticaria 30Ml","MEK","0","12","230","230"
"294","T-57 Relieve The Symptoms Of Influenza 30Ml","MEK","0","12","230","230"
"295","T-58 Itching & Skin Irritation 30Ml","MEK","0","12","230","230"
"296","T-59 Relieve The Symptoms Of Warts 30Ml","MEK","0","12","230","230"
"297","T-60 Sciatica 30Ml ","MEK","0","12","230","230"
"298","Ferro Mek 415Gm Syp","MEK","0","12","400","470"
"299","Korean Ginseng Tonic 250Ml Syp","MEK","0","12","400","400"
"300","Sharbat E Faulad 250Ml Syp","MEK","0","12","330","330"
"301","Ginkgo Mek 250Ml Syp","MEK","0","12","330","330"
"302","Gastro Pex 250Ml Syp","MEK","0","12","330","330"
"303","Mekbin Hemoglobin 250Ml Syp","MEK","0","12","330","330"
"304","Tonsimek 120Ml Syp","MEK","0","12","260","220"
"305","Podo Mek 120Ml Syp","MEK","0","12","160","160"
"306","Nefrenol Kidny 120Ml Syp","MEK","0","12","170","180"
"307","Avena Force 250Ml Syp","MEK","0","12","390","390"
"308","Jaam E Hayat 250Ml Syp","MEK","0","12","390","390"
"309","Bio Mek 250Ml Syp","MEK","0","12","390","330"
"310","Calci Mek 250Ml Syp","MEK","0","12","340","410"
"311","Senox Cold 120Ml Syp","MEK","0","12","160","160"
"312","Phytolacca Berry 120Ml Syp","MEK","0","12","260","260"
"313","Mek Cough 120Ml Syp","MEK","0","120","160","160"
"314","Rheuma Liniment 120Ml Syp","MEK","0","120","340","330"
"315","Mektone Baby Tonic 120Ml Syp","MEK","0","120","210","180"
"316","Mek Cuff 120Ml Syp","MEK","0","120","200","200"
"317","Korean Ginseng Tonic 120Ml Syp","MEK","0","120","180","0"
"318","Leuco Mek 120Ml Syp","MEK","0","12","280","160"
"319","Khoon Safi 120Ml Syp.","MEK","0","12","180","180"
"320","Glyco Mek 120Ml Syp","MEK","0","12","180","180"
"321","Hepartone Liver Tonic 120Ml Syp","MEK","0","12","220","220"
"322","Ferrum Complex 120Ml Syp","MEK","0","12","180","200"
"323","Arthro Mek 120Ml Syp","MEK","0","12","180","180"
"324","Fevo Mek 120Ml Syp","MEK","0","12","160","160"
"325","Digi Mek Digestive Tonic 120Ml Syp","MEK","0","12","160","160"
"326","Agnus Damiana 120Ml Drops","MEK","0","12","260","260"
"327","Avena Ginkgo 120Ml Syp","MEK","0","12","260","260"
"328","Arnica Medicated 120Ml Shampoo","MEK","0","12","370","370"
"329","Calci Mek 120Ml Syp","MEK","0","12","190","190"
"330","Arnica Medicated 120Ml Oil","MEK","0","120","370","370"
"331","Alfalfa Super Tonic 120Ml Syp","MEK","0","12","160","160"
"332","Caledula Medicated 60Ml Skin Lotion","MEK","0","12","160","200"
"333","Tension Relief 60Ml Drops","BM","0","12","250","0"
"334","Euphrasia Eye 15Ml Drops","BM","0","12","190","114"
"335","Plantigo Oral Detal Remedy 15Ml Drops","BM","0","12","150","150"
"336","Mullien Ear 15Ml Drops","BM","0","12","200","150"
"337","Cineraria Maritima Eye 15Ml Drops","BM","0","12","150","150"
"338","Rene Cure 30Ml Drops","BM","0","12","250","250"
"339","Doloex 30 Tablets","BM","0","12","200","200"
